Date,Open,High,Low,Close,Adj Close,Volume
2021-04-05,0.861532,0.882670,0.851159,0.872803,0.872803,2151094248
2021-04-06,0.872788,0.968228,0.864470,0.907572,0.907572,4555543294
2021-04-07,0.907647,0.935690,0.842761,0.855180,0.855180,3472244697
2021-04-08,0.855896,0.890858,0.853740,0.887902,0.887902,1686217625
2021-04-09,0.887915,0.893911,0.870283,0.877951,0.877951,1224738463
2021-04-10,0.877946,0.913243,0.872678,0.889183,0.889183,1810291511
2021-04-11,0.888892,0.942793,0.876063,0.924123,0.924123,2653152087
2021-04-12,0.923738,0.984787,0.919906,0.956935,0.956935,3575979616
2021-04-13,0.956039,1.045888,0.933872,1.026079,1.026079,4285578018
2021-04-14,1.025507,1.128076,0.981871,1.056417,1.056417,6965334658
2021-04-15,1.055244,1.084366,1.027674,1.074852,1.074852,3872109388
2021-04-16,1.073429,1.103147,0.971232,1.024383,1.024383,4115164320
2021-04-17,1.022138,1.052724,0.988947,1.001098,1.001098,2933472631
2021-04-18,1.002047,1.010370,0.794432,0.923084,0.923084,5394974487
2021-04-19,0.924896,0.956029,0.840024,0.856202,0.856202,4049570966
2021-04-20,0.853808,0.918695,0.807911,0.908256,0.908256,3483718069
2021-04-21,0.909548,0.922769,0.861900,0.866218,0.866218,2927718010
2021-04-22,0.864184,0.922608,0.807689,0.828841,0.828841,3391476322
2021-04-23,0.827979,0.839624,0.675220,0.832716,0.832716,5185192142
2021-04-24,0.834936,0.861963,0.790397,0.793564,0.793564,2569585840
2021-04-25,0.794535,0.826125,0.737066,0.784894,0.784894,1778351236
2021-04-26,0.786290,0.899571,0.780065,0.888125,0.888125,2303825468
2021-04-27,0.890699,0.956159,0.881402,0.940026,0.940026,2147357409
2021-04-28,0.939335,0.971448,0.890377,0.957152,0.957152,2136555996
2021-04-29,0.958184,1.011838,0.909243,0.937519,0.937519,2865255722
2021-04-30,0.936216,0.982162,0.922845,0.978865,0.978865,1947723167
2021-05-01,0.978852,0.989696,0.954662,0.979276,0.979276,1469788952
2021-05-02,0.978068,0.980591,0.937664,0.960157,0.960157,1443183182
2021-05-03,0.960248,0.994518,0.957311,0.979639,0.979639,1725050229
2021-05-04,0.980292,0.982247,0.906095,0.917451,0.917451,2406544978
2021-05-05,0.915202,1.073817,0.907618,1.060845,1.060845,3448895286
2021-05-06,1.062701,1.223017,1.031106,1.187530,1.187530,7685732639
2021-05-07,1.186493,1.253234,1.100093,1.182047,1.182047,5236308484
2021-05-08,1.182827,1.182827,1.118401,1.158065,1.158065,2831014650
2021-05-09,1.158632,1.309381,1.126921,1.261039,1.261039,5744453071
2021-05-10,1.257838,1.295601,1.082124,1.163872,1.163872,4573788731
2021-05-11,1.161765,1.256745,1.130290,1.247960,1.247960,3840329123
2021-05-12,1.247555,1.288235,1.104212,1.104212,1.104212,3796303172
2021-05-13,1.115359,1.402089,1.071025,1.376644,1.376644,10332596856
2021-05-14,1.372098,1.448188,1.291884,1.421731,1.421731,5428094085
2021-05-15,1.423027,1.681964,1.394590,1.541744,1.541744,11004722318
2021-05-16,1.539905,1.745799,1.427502,1.637553,1.637553,8881751758
